Country,2015,2016,2015-2016
Belgium,117,119,236
Bulgaria,,,
Czech Republic,4,14,18
Denmark,93,121,214
Germany,470,536,1006
Estonia,13,10,23
Ireland,62,75,137
Greece,158,346,504
Spain,267,193,460
France,,1516,1516
Croatia,38,30,68
Italy,781,879,1660
Cyprus,46,44,90
Latvia,24,33,57
Lithuania,62,45,107
Luxembourg,7,20,27
Hungary,507,489,996
Malta,3,34,37
Netherlands,1295,1147,2442
Austria,384,375,759
Poland,173,197,370
Portugal,137,202,339
Romania,880,756,1636
Slovenia,47,27,74
Slovakia,81,45,126
Finland,52,130,182
Sweden,180,197,377
United Kingdom,3266,3805,7071